language,impl,n,run,time_s
python,naive,64,0,0.014682300039567053
python,naive,64,1,0.014812200039159507
python,naive,64,2,0.015638899989426136
python,naive,64,3,0.01544119999743998
python,naive,64,4,0.016934100014623255
python,naive,64,5,0.017368400003761053
python,naive,64,6,0.016633499995805323
python,naive,128,0,0.11341660004109144
python,naive,128,1,0.1203512999927625
python,naive,128,2,0.11862839997047558
python,naive,128,3,0.12373530003242195
python,naive,128,4,0.11190370004624128
python,naive,128,5,0.10831829998642206
python,naive,128,6,0.11171269998885691
python,naive,256,0,0.8826833000057377
python,naive,256,1,0.8740622000186704
python,naive,256,2,0.8635616999818012
python,naive,256,3,0.873210099991411
python,naive,256,4,0.9347993999836035
python,naive,256,5,0.9183286000043154
python,naive,256,6,0.9163280000211671
